year month Tmax Tmin PAR Prec CO2
1850-2100 1 -5.31470117438327 -9.76923915392729 3.84298882686735 49.3190750787033 311.359878344414
1850-2100 2 -4.31556402755108 -8.95202212398997 9.34653981933071 46.2920866308469 311.408689449995
1850-2100 3 -0.286393194329226 -5.28270396402435 17.5076826587833 47.5141015799948 311.457500555576
1850-2100 4 5.76528158318509 -0.859691557165672 25.2887732193453 43.5548282068763 311.507969196026
1850-2100 5 11.6216456896638 4.32135481115892 33.1972258216343 41.9808106718834 311.558431967711
1850-2100 6 16.4035355136819 9.2962672716951 35.4975037594631 41.3919351843975 311.608899434408
1850-2100 7 18.8953507932898 12.1810395332232 34.5736557790417 46.8503362326965 311.659807840983
1850-2100 8 18.2118714842078 11.9076298857389 27.397622037605 52.3410301629816 311.712115948017
1850-2100 9 14.0345393246168 8.46374549343164 19.2555182025241 65.3429537952334 311.763578170385
1850-2100 10 8.14818871903095 3.90656067312583 11.9038762331033 62.1093382017422 311.815042740259
1850-2100 11 1.64134786945502 -1.92745019573053 5.41438001183264 63.4257148969532 311.86650965764
1850-2100 12 -3.29205289049211 -7.45783446954218 2.5481708389319 52.7725100666467 311.917972075633
